method_code,label,SLOC,CyclomaticComplexity,McClureComplexity,NestingDepth,ProxyIndentation,Readability,FanOut,HalsteadDifficulty,HalsteadEffort,MaintainabilityIndex
"@Override
public void collect(T record) {
    try {
        operator.processElement(serializer.copy(record));
    } catch (Exception e) {
        if (LOG.isErrorEnabled()) {
            LOG.error(""Could not forward element to operator."", e);
        }
        throw new RuntimeException(e);
    }
}",0,-0.1428571428571428,0.0,0.0,0.0,0.1283119676492077,-0.7300275482093666,-0.1538461538461538,-0.5605499941572858,-0.2162818135434369,0.2154878077182847
"boolean hasInputChannelWithData() {
    return !inputChannelsWithData.isEmpty();
}",1,-0.5238095238095238,-0.3333333333333333,0.0,-1.0,-0.5270812923370379,-0.6969696969696971,-0.4615384615384615,-0.625472286059284,-0.270222681857416,0.2154878077182847
"public static String encodeBase64String(byte[] binaryData) {
    return StringUtils.newStringUtf8(encodeBase64(binaryData, true));
}",1,-0.5238095238095238,-0.3333333333333333,0.0,-1.0,-0.5270812923370379,0.43939393939394,-0.3846153846153846,-0.4794044326724573,-0.2532557713646916,0.2154878077182847
"@Override
public void copy(DataInputView source, DataOutputView target) throws IOException {
        target.writeBoolean(source.readBoolean());
    for (int i = 0; i < numFields; i++) {
        target.writeBoolean(source.readBoolean());
        fieldSerializers[i].copy(source, target);
    }
}",1,-0.2857142857142857,-0.1666666666666666,0.0,-0.5,0.0,-0.0691287878787877,-0.1538461538461538,0.0561776964125735,-0.1024731640741286,0.2154878077182847
"@Override
public void acquiring() {
    if (store.create(JOURNAL, singletonList(changes.asUpdateOp(getHeadRevision())))) {
        changes = JOURNAL.newDocument(getDocumentStore());
    }
}",0,-0.3809523809523809,-0.1666666666666666,0.0,-0.5,-0.1611739063653429,-0.4242424242424242,-0.0769230769230769,-0.5168562302808397,-0.2336232065382779,0.2154878077182847
"@Override
public void write(byte[] b, int off, int len) throws IOException {
    if (off == 0 || len == b.length) {
        write(b);
    } else {
        byte[] copy = new byte[len];
        System.arraycopy(b, off, copy, 0, len);
        write(copy);
    }
}",1,-0.1904761904761904,-0.1666666666666666,1.0,-0.5,-0.047233143921744,-0.8037878787878789,-0.3076923076923077,0.1335060179955595,-0.0655889938347516,0.2154878077182847
"@Override
public Expression createExpression(CamelContext camelContext) {
    Expression answer;
    if (beanType == null && beanTypeName != null) {
        try {
            beanType = camelContext.getClassResolver().resolveMandatoryClass(beanTypeName);
        } catch (ClassNotFoundException e) {
            throw ObjectHelper.wrapRuntimeCamelException(e);
        }
    }
    if (beanType != null) {
                if (ObjectHelper.hasDefaultPublicNoArgConstructor(beanType)) {
            instance = camelContext.getInjector().newInstance(beanType);
            answer = new BeanExpression(instance, getMethod());
        } else {
            answer = new BeanExpression(beanType, getMethod());
        }
    } else if (instance != null) {
        answer = new BeanExpression(instance, getMethod());
    } else {
        String ref = beanName();
                BeanHolder holder = new RegistryBean(camelContext, ref);
                instance = holder.getBean();
        answer = new BeanExpression(ref, getMethod());
    }
    validateHasMethod(camelContext, instance, beanType, getMethod());
    return answer;
}",1,0.6666666666666666,0.5,1.0,0.0,0.3875392243555906,0.1512445887445883,0.9230769230769232,0.2536419584777781,0.4659547806599815,-0.7448354565992031
"protected final void setRunOptions(CompilerOptions options) throws FlagUsageException, IOException {
    DiagnosticGroups diagnosticGroups = getDiagnosticGroups();
    diagnosticGroups.setWarningLevels(options, config.jscompError, CheckLevel.ERROR);
    diagnosticGroups.setWarningLevels(options, config.jscompWarning, CheckLevel.WARNING);
    diagnosticGroups.setWarningLevels(options, config.jscompOff, CheckLevel.OFF);
    createDefineReplacements(config.define, options);
    options.manageClosureDependencies = config.manageClosureDependencies;
    options.devMode = config.jscompDevMode;
    options.setCodingConvention(config.codingConvention);
    options.setSummaryDetailLevel(config.summaryDetailLevel);
    inputCharset = getInputCharset();
    if (config.jsOutputFile.length() > 0) {
        options.jsOutputFile = config.jsOutputFile;
    }
    if (config.createSourceMap.length() > 0) {
        options.sourceMapOutputPath = config.createSourceMap;
    }
    options.sourceMapDetailLevel = config.sourceMapDetailLevel;
    if (!config.variableMapInputFile.equals("""")) {
        options.inputVariableMapSerialized = VariableMap.load(config.variableMapInputFile).toBytes();
    }
    if (!config.propertyMapInputFile.equals("""")) {
        options.inputPropertyMapSerialized = VariableMap.load(config.propertyMapInputFile).toBytes();
    }
}",2,0.5238095238095238,0.3333333333333333,0.0,-0.5,-0.5111637478687978,1.1066666666666674,0.6923076923076923,0.0832294628598137,0.5027586775292536,-0.6967137899713535
"private PrivilegeBits resolvePrivilegeBits(NodeBuilder privileges, String name) {
    NodeBuilder def = privileges.getChildNode(name);
    PropertyState b = def.getProperty(REP_BITS);
    if (b != null) {
        return PrivilegeBits.getInstance(b);
    }
    PrivilegeBits bits = PrivilegeBits.getInstance();
    for (String n : def.getNames(REP_AGGREGATES)) {
        bits.add(resolvePrivilegeBits(privileges, n));
    }
    def.setProperty(bits.asPropertyState(REP_BITS));
    return bits;
}",0,-0.0476190476190476,0.0,0.0,-0.5,-0.415826175981027,0.0128205128205132,0.1538461538461538,-0.0533731936275464,-0.0217170370571457,0.0529287095046226
"protected String resourceKey(T object) {
    return object.getClass().getSimpleName() + ""."" + object.name();
}",1,-0.5238095238095238,-0.3333333333333333,0.0,-1.0,-0.5270812923370379,-0.0606060606060604,-0.3076923076923077,-0.5497312351497682,-0.2542351879984517,0.2154878077182847
